-62.650912,46.167006,Montague Regional High School,"142 Fraser St, Montague, 838-0835"
-62.710048,46.41582,Morell Consolidated School,"7755 St Peters Rd - Rte 2, Morell, 961-7340"
-62.707293,46.411725,Morell Regional High School,"100 Little Flower Av - Rte 322, Morell, 961-7345"
-62.855445,46.363719,Mt. Stewart Consolidated School,"120 South Main St - Rte 351, Mount Stewart, 676-7990"
-64.231141,46.704028,O'Leary Elementary School,"25 Barclay Rd, O'Leary, 859-8713"
-63.123972,46.252215,Parkdale Elementary School,"49 Confederation St, Charlottetown, 368-6945"
-63.789086,46.39835,Parkside Elementary School,"195 Summer St, Summerside, 888-8472"
-63.129334,46.240716,Prince Street Elementary School,"60 Upper Prince St, Charlottetown, 368-6950"
-63.142558,46.239377,Queen Charlotte Intermediate School,"150 North River Rd, Charlottetown, 368-6970"
-63.628632,46.437989,Queen Elizabeth Elementary School,"2 Saunders Ln, Kensington, 836-8900"
-63.129397,46.26432,Sherwood Elementary School,"64 Maple Av, Charlottetown, 368-6780"
-63.604911,46.327436,Somerset Elementary School,"30 Somerset St, Kinkora, 887-2505"
-62.251545,46.356207,Souris Consolidated School,"33 Church Av, Souris, 687-7140"
-62.251144,46.357826,Souris Regional High School,"15 Longworth St, Souris, 687-7130"
-62.600463,46.059679,Southern Kings Consolidated School,"2294 Peters Rd - Rte 324, Peter's Road, 962-7400"
-63.14129,46.24445,Spring Park Elementary School,"30 Dunkirk St, Charlottetown, 368-6400"
-63.133169,46.238271,St. Jean Elementary School,"335 Queen St, Charlottetown, 368-6985"
-64.14774,46.885453,St. Louis Elementary School,"3807 Union Rd - Rte 152, St. Edward, 882-7358"
-63.122057,46.266622,Stonepark Intermediate School,"50 Pope Av, Charlottetown, 368-6085"
-63.096159,46.22438,Stratford Elementary,"50 Glen Stewart Dr, Stratford, 569-7750"
-63.789851,46.400317,Summerside Intermediate School,"247 Central St, Summerside, 888-8470"
-63.778928,46.401199,Three Oaks Senior High School,"10 Kenmoore Av, Summerside, 888-8460"
-64.03416,46.954589,Tignish Elementary School,"322 Church St, Tignish, 882-7357"
-62.832179,46.190678,Vernon River Consolidated School,"5505 Murray Harbour Rd - Rte 24, Vernon River, 651-8520"
-63.145141,46.23455,West Kent Elementary School,"27 Viceroy Av, Charlottetown, 368-6065"
-63.169849,46.275144,West Royalty Elementary School,"80 Commonwealth Av, Charlottetown, 368-6790"
-64.14809,46.806387,Westisle Composite High School,"39570 Western Rd - Rte 2, Rosebank, 853-8626"
-63.220019,46.2212,Westwood Primary School,"80 Meadowbank Rd, Cornwall, 368-6855"
